index,KO,PEP,COST,ULTA,BKNG,V,MA,FSLR,TSLA,ON,MCHP,CRM,ADBE,MSFT,GOOG,AAPL,ENPH,PFE,JNJ,AMZN,BAC,AXP,DIS,META,MCO,SPGI,UBER
MCHP,-0.4555532591852284,-0.16989146460666982,-0.21574961181430818,0.21000022703172846,-0.25495177796555973,-0.19577535073394392,-0.4342350190922067,0.11962323735615134,-0.40779533346416735,0.2679051578363515,1.0,-0.08268523696647213,-0.1288307206632346,0.1877233959012871,0.22358613154437004,-0.3884681419118677,0.4922735015835742,-0.3276602805508974,-0.6708408187953362,0.06835822525863182,-0.05302923587377982,-0.248963387799876,0.39182141399877685,-0.2739521431423765,-0.44447514385869874,-0.5421772392745149,-0.17919105703029647
CRM,-0.035968485620908534,0.051178585122921554,0.11800098816168049,0.44635319986339633,0.31866607773866257,0.6748269635385475,0.6256957058696323,-0.36156830024763387,-0.1788500525839721,0.17026294442268278,-0.08268523696647213,1.0,-0.23665604487531627,0.16979535750111063,-0.08930494568118104,-0.23553064071161464,-0.03305396121447692,-0.3683130694646379,0.311049176571863,0.35557833071057643,0.17029209354857522,0.3256823654538991,0.5644122140982064,0.421665491894959,0.032006192531431055,0.060824879866734835,0.6892348794540244
ADBE,-0.32646359476123843,-0.46367417625042084,-0.49375061480206706,0.4155895795583465,-0.4333855078442308,-0.4851934186658409,-0.5210042057399517,-0.5029703989281702,0.35065412907825744,0.4697122471443231,-0.1288307206632346,-0.23665604487531627,1.0,-0.4567649108239091,-0.5754104272390788,-0.02358679678705174,0.022616552902923148,-0.007557127097366019,0.12493225061328599,-0.6580994062612956,-0.6197021144455828,-0.6368506345566914,-0.4326342686101043,-0.6061975731222933,-0.24920345788497894,-0.127187023505476,-0.4170711774757215
MSFT,0.5029755991015133,0.2001081322236053,0.7837102541266642,-0.3629662905786876,0.6172149513867448,0.504353760581347,0.5328308499773656,0.6461604387095412,-0.12458481728556267,-0.23867500910896336,0.1877233959012871,0.16979535750111063,-0.4567649108239091,1.0,0.8146101406314247,0.4537741029111238,-0.032449849989900276,0.1973076478648607,0.006272486032249257,0.8805416395083497,0.7743550383551598,0.7117062709491394,0.23694567693853524,0.7785838471643688,0.5503974420407457,0.4262686833519081,0.603391224916675
GOOG,0.5476834729178465,0.3262799131752742,0.7702842653520376,-0.7001397807966285,0.6569804188440856,0.2968474419545617,0.3601034412147352,0.7857943464949173,0.030427574110502127,-0.34472163170146464,0.22358613154437004,-0.08930494568118104,-0.5754104272390788,0.8146101406314247,1.0,0.5736756569500877,-0.15255334211236277,0.3385304039180222,-0.13620289091143944,0.8057544272927826,0.8463140584642042,0.7194188305707896,-0.016574242412071883,0.6316586863435453,0.578973606682623,0.4380353937782982,0.2653618939139996
AAPL,0.801751397560836,0.24542950084726825,0.7486246329065911,-0.6838913549726332,0.6805859345347852,0.1321840263780285,0.38064705561081513,0.6249364711351515,0.6297282964051751,-0.0855101959562251,-0.3884681419118677,-0.23553064071161464,-0.02358679678705174,0.4537741029111238,0.5736756569500877,1.0,-0.33238855960589,0.71480471416626,0.4613182260848801,0.41782602348883546,0.6635087072444573,0.6178518197284631,-0.6432125103773858,0.5093401775619728,0.8777300185642558,0.8665058955133141,0.18399542455959558
ENPH,-0.16709995520819293,-0.030204232385607977,-0.12272165688343116,0.36225490180241593,-0.3455369856946787,-0.1425840579438588,-0.23973426119103983,0.13509805279252826,-0.3753128507951209,0.5262576343960345,0.4922735015835742,-0.03305396121447692,0.022616552902923148,-0.032449849989900276,-0.15255334211236277,-0.33238855960589,1.0,-0.19376002439661003,-0.11488391282736239,-0.13001372825837315,-0.18120928721485854,-0.1912220893088301,0.22866110410543114,-0.15924002762836348,-0.240134315234413,-0.2604565703013797,0.03563236828885375
PFE,0.6602927874850788,0.39691525791276183,0.4660716557561436,-0.613250509305643,0.32758122123218497,-0.056649259244925386,0.15300785018397822,0.495977688655522,0.4657547559665342,-0.09155079457003516,-0.3276602805508974,-0.3683130694646379,-0.007557127097366019,0.1973076478648607,0.3385304039180222,0.71480471416626,-0.19376002439661003,1.0,0.46836806734174696,0.1309422014555308,0.412470545088939,0.3950925638197445,-0.626271313517463,0.23860061687122974,0.6502495226747095,0.6628142405686606,-0.11835046529528115
JNJ,0.6414041899248222,0.3630529972667785,0.41929987652244977,-0.0613825126683353,0.34899149850621203,0.3927890816584428,0.5784965504132923,0.004027795429891651,0.3536539074863091,0.1376822961346443,-0.6708408187953362,0.311049176571863,0.12493225061328599,0.006272486032249257,-0.13620289091143944,0.4613182260848801,-0.11488391282736239,0.46836806734174696,1.0,0.06043220249461449,0.2694534625955675,0.4339916007539207,-0.3739152067136517,0.37108583197482287,0.6441766784751174,0.7422300048197605,0.3742402815399942
AMZN,0.5439714470510019,0.3167040950010212,0.8187452905029625,-0.4038477809640619,0.7695795996299788,0.6794633442626629,0.7123599179497213,0.5916290450916214,-0.06295389767790038,-0.2910870542433607,0.06835822525863182,0.35557833071057643,-0.6580994062612956,0.8805416395083497,0.8057544272927826,0.41782602348883546,-0.13001372825837315,0.1309422014555308,0.06043220249461449,1.0,0.8686639095287273,0.8605215002695458,0.32119640193178595,0.874829847136897,0.5830807637785096,0.46608869429017835,0.6879057808141745
BAC,0.752864140600867,0.4591197910559161,0.9175870471554982,-0.6287642289781977,0.8210431178260268,0.5600203955159507,0.6896910474780046,0.7211759218002212,0.1401278250650027,-0.2636073392724442,-0.05302923587377982,0.17029209354857522,-0.6197021144455828,0.7743550383551598,0.8463140584642042,0.6635087072444573,-0.18120928721485854,0.412470545088939,0.2694534625955675,0.8686639095287273,1.0,0.9318352860013049,-0.019518902521844936,0.8298444951776541,0.8035711874576607,0.7003312717105087,0.5422613075097207
AXP,0.8304005438068818,0.5653363993355218,0.9285691145410587,-0.5622959034594637,0.8268755692477114,0.6889557955641378,0.8549244959618117,0.6277691414683569,0.0884982078088511,-0.28852678633617185,-0.248963387799876,0.3256823654538991,-0.6368506345566914,0.7117062709491394,0.7194188305707896,0.6178518197284631,-0.1912220893088301,0.3950925638197445,0.4339916007539207,0.8605215002695458,0.9318352860013049,1.0,0.03410712393680014,0.9224762509095624,0.8373321395152793,0.7650417909001243,0.6652268007937644
DIS,-0.397897773398296,-0.06058187317341912,-0.14803509829541364,0.46539684507902324,-0.07488136850170493,0.40476141160638407,0.22351298874253522,-0.2352649502467644,-0.6537800385534517,-0.06934111664054657,0.39182141399877685,0.5644122140982064,-0.4326342686101043,0.23694567693853524,-0.016574242412071883,-0.6432125103773858,0.22866110410543114,-0.626271313517463,-0.3739152067136517,0.32119640193178595,-0.019518902521844936,0.03410712393680014,1.0,0.1959352090539923,-0.43238491700755327,-0.5086679191032593,0.47155627783890686
META,0.718865960809121,0.38241526630047024,0.8831103770882377,-0.4107492839496224,0.7668830275068232,0.7256975014320878,0.8880705836770081,0.5494610093276813,-0.040034735815444665,-0.2927491209374673,-0.2739521431423765,0.421665491894959,-0.6061975731222933,0.7785838471643688,0.6316586863435453,0.5093401775619728,-0.15924002762836348,0.23860061687122974,0.37108583197482287,0.874829847136897,0.8298444951776541,0.9224762509095624,0.1959352090539923,1.0,0.7383695948969676,0.6577629712876762,0.8184304417082825
MCO,0.9516032111326802,0.518768451233585,0.8912166053545688,-0.660010107571582,0.728057700050623,0.4156024324708519,0.6737246399514176,0.6324227165443058,0.39164612244703984,-0.16935792470261954,-0.44447514385869874,0.032006192531431055,-0.24920345788497894,0.5503974420407457,0.578973606682623,0.8777300185642558,-0.240134315234413,0.6502495226747095,0.6441766784751174,0.5830807637785096,0.8035711874576607,0.8373321395152793,-0.43238491700755327,0.7383695948969676,1.0,0.9680287248462722,0.42693951643082434
SPGI,0.9270954428221689,0.47302681002867575,0.8049899899842253,-0.5776677063128476,0.6884588883815639,0.3764710536155173,0.6476865389159875,0.5123565779196934,0.4739242677308893,-0.1281894389770899,-0.5421772392745149,0.060824879866734835,-0.127187023505476,0.4262686833519081,0.4380353937782982,0.8665058955133141,-0.2604565703013797,0.6628142405686606,0.7422300048197605,0.46608869429017835,0.7003312717105087,0.7650417909001243,-0.5086679191032593,0.6577629712876762,0.9680287248462722,1.0,0.3945499281021114
UBER,0.4072011686126049,0.16035630966021092,0.5917416144012865,0.0896224361272156,0.5597336670150603,0.745791224118522,0.8231789698105855,0.1628397526982211,-0.18398573116229136,-0.016989185169396,-0.17919105703029647,0.6892348794540244,-0.4170711774757215,0.603391224916675,0.2653618939139996,0.18399542455959558,0.03563236828885375,-0.11835046529528115,0.3742402815399942,0.6879057808141745,0.5422613075097207,0.6652268007937644,0.47155627783890686,0.8184304417082825,0.42693951643082434,0.3945499281021114,1.0
